geoid,Zip,Total,Owned,Rent
86000US91202,91202,8764,3138,5626
86000US91203,91203,5698,1024,4674
86000US91204,91204,6327,627,5700
86000US91205,91205,14294,2156,12138
86000US91206,91206,13294,4598,8696
86000US91207,91207,4166,2288,1878
86000US91208,91208,5806,3735,2071
86000US91210,91210,308,67,241
86000US91214,91214,10240,7854,2386
86000US91301,91301,9191,7165,2026
86000US91302,91302,9513,6672,2841
86000US91303,91303,9823,2366,7457
86000US91304,91304,17225,8743,8482
86000US91306,91306,14510,8197,6313
86000US91307,91307,8738,7380,1358
86000US91311,91311,14122,9244,4878
86000US91316,91316,12252,6073,6179
86000US91320,91320,15032,11423,3609
86000US91321,91321,11045,6078,4967
86000US91324,91324,9925,5119,4806
86000US91325,91325,11748,5620,6128
86000US91326,91326,12888,9384,3504
86000US91330,91330,0,0,0
86000US91331,91331,23367,14396,8971
86000US91335,91335,24085,11435,12650
86000US91340,91340,8870,4849,4021
86000US91342,91342,25033,16388,8645
86000US91343,91343,17850,9052,8798
86000US91344,91344,16820,12628,4192
86000US91345,91345,5314,3921,1393
86000US91350,91350,11458,9598,1860
86000US91351,91351,9871,6961,2910
86000US91352,91352,12474,6742,5732
86000US91354,91354,10277,8029,2248
86000US91355,91355,12030,7068,4962
86000US91356,91356,11827,6702,5125
86000US91360,91360,15002,10064,4938
86000US91361,91361,8583,6502,2081
86000US91362,91362,13506,9625,3881
86000US91364,91364,10607,7132,3475
86000US91367,91367,18236,9357,8879
86000US91371,91371,0,0,0
86000US91377,91377,5306,3767,1539
86000US91381,91381,6675,4612,2063
86000US91384,91384,6980,5849,1131
86000US91387,91387,13240,8084,5156
86000US91390,91390,5996,5429,567
86000US91401,91401,15132,5162,9970
86000US91402,91402,19476,6406,13070
86000US91403,91403,11491,5080,6411
86000US91405,91405,18009,4788,13221
86000US91406,91406,18126,7166,10960
86000US91411,91411,9689,2606,7083
86000US91423,91423,15305,6030,9275
86000US91436,91436,5594,4411,1183
86000US91501,91501,7870,2542,5328
86000US91502,91502,5125,448,4677
86000US91504,91504,9414,4973,4441
86000US91505,91505,12835,6010,6825
86000US91506,91506,7460,4036,3424
86000US91601,91601,16809,3283,13526
86000US91602,91602,9557,3238,6319
86000US91604,91604,14808,6797,8011
86000US91605,91605,15774,5799,9975
86000US91606,91606,15439,4725,10714
86000US91607,91607,13673,4097,9576
86000US91608,91608,0,0,0
86000US91701,91701,13050,10268,2782
86000US91702,91702,15383,8718,6665
86000US91706,91706,18172,10267,7905
86000US91708,91708,590,303,287
86000US91709,91709,24374,18392,5982
86000US91710,91710,21639,13745,7894
86000US91711,91711,11938,7716,4222
86000US91722,91722,9880,7045,2835
86000US91723,91723,6250,2547,3703
86000US91724,91724,7941,5668,2273
86000US91730,91730,23576,10529,13047
86000US91731,91731,8085,3109,4976
86000US91732,91732,15904,6979,8925
86000US91733,91733,11150,4728,6422
86000US91737,91737,7977,5670,2307
86000US91739,91739,11598,8185,3413
86000US91740,91740,8357,5640,2717
86000US91741,91741,8941,6517,2424
86000US91744,91744,18895,12614,6281
86000US91745,91745,16233,12557,3676
86000US91746,91746,6676,4967,1709
86000US91748,91748,13492,8513,4979
86000US91750,91750,11856,8857,2999
86000US91752,91752,8456,5190,3266
86000US91754,91754,11109,6118,4991
86000US91755,91755,8783,4270,4513
86000US91759,91759,195,128,67
86000US91761,91761,17028,10935,6093
86000US91762,91762,17326,8638,8688
86000US91763,91763,10281,5349,4932
86000US91764,91764,16129,7223,8906
86000US91765,91765,14937,11255,3682
86000US91766,91766,17906,9463,8443
86000US91767,91767,14099,7284,6815
86000US91768,91768,8073,4197,3876
86000US91770,91770,16977,8616,8361
86000US91773,91773,11494,8277,3217
86000US91775,91775,8070,5321,2749
86000US91776,91776,11455,4353,7102
86000US91780,91780,11173,6615,4558
86000US91784,91784,8945,7574,1371
